Data;Predicted
2020-09-15 00:00:00;94
2020-09-16 00:00:00;57
2020-09-17 00:00:00;68
2020-09-18 00:00:00;50
2020-09-19 00:00:00;72
2020-09-20 00:00:00;89
2020-09-21 00:00:00;38
2020-09-22 00:00:00;52
2020-09-23 00:00:00;53
2020-09-24 00:00:00;73
2020-09-25 00:00:00;59
2020-09-26 00:00:00;67
2020-09-27 00:00:00;72
2020-09-28 00:00:00;45
2020-09-29 00:00:00;57
2020-09-30 00:00:00;25
2020-10-01 00:00:00;84
2020-10-02 00:00:00;106
2020-10-03 00:00:00;66
2020-10-04 00:00:00;59
2020-10-05 00:00:00;60
2020-10-06 00:00:00;87
2020-10-07 00:00:00;106
2020-10-08 00:00:00;82
2020-10-09 00:00:00;97
2020-10-10 00:00:00;76
2020-10-11 00:00:00;14
2020-10-12 00:00:00;71
2020-10-13 00:00:00;112
2020-10-14 00:00:00;157
2020-10-15 00:00:00;95
2020-10-16 00:00:00;156
2020-10-17 00:00:00;51
2020-10-18 00:00:00;84
2020-10-19 00:00:00;-539
2020-10-20 00:00:00;143
2020-10-21 00:00:00;135
2020-10-22 00:00:00;130
2020-10-23 00:00:00;212
2020-10-24 00:00:00;158
2020-10-25 00:00:00;303
2020-10-26 00:00:00;247
2020-10-27 00:00:00;346
2020-10-28 00:00:00;351
2020-10-29 00:00:00;315
2020-10-30 00:00:00;532
2020-10-31 00:00:00;587
2020-11-01 00:00:00;367
2020-11-02 00:00:00;393
2020-11-03 00:00:00;411
2020-11-04 00:00:00;733
2020-11-05 00:00:00;1636
2020-11-06 00:00:00;597
2020-11-07 00:00:00;479
2020-11-08 00:00:00;1213
2020-11-09 00:00:00;900
2020-11-10 00:00:00;1011
2020-11-11 00:00:00;478
2020-11-12 00:00:00;836
2020-11-13 00:00:00;766
2020-11-14 00:00:00;1189
2020-11-15 00:00:00;637
2020-11-16 00:00:00;799
2020-11-17 00:00:00;990
2020-11-18 00:00:00;917
2020-11-19 00:00:00;999
2020-11-20 00:00:00;1429
2020-11-21 00:00:00;1072
2020-11-22 00:00:00;496
2020-11-23 00:00:00;1007
2020-11-24 00:00:00;1188
2020-11-25 00:00:00;1340
2020-11-26 00:00:00;961
2020-11-27 00:00:00;1912
2020-11-28 00:00:00;5
2020-11-29 00:00:00;136
2020-11-30 00:00:00;933
2020-12-01 00:00:00;784
2020-12-02 00:00:00;836
2020-12-03 00:00:00;436
2020-12-04 00:00:00;880
2020-12-05 00:00:00;935
2020-12-06 00:00:00;670
2020-12-07 00:00:00;631
2020-12-08 00:00:00;750
2020-12-09 00:00:00;651
2020-12-10 00:00:00;515
2020-12-11 00:00:00;529
2020-12-12 00:00:00;711
2020-12-13 00:00:00;466
2020-12-14 00:00:00;1766
2020-12-15 00:00:00;296
2020-12-16 00:00:00;831
2020-12-17 00:00:00;402
2020-12-18 00:00:00;567
2020-12-19 00:00:00;414
2020-12-20 00:00:00;87
2020-12-21 00:00:00;89
2020-12-22 00:00:00;460
2020-12-23 00:00:00;447
2020-12-24 00:00:00;499
2020-12-25 00:00:00;392
2020-12-26 00:00:00;536
2020-12-27 00:00:00;344
2020-12-28 00:00:00;248
2020-12-29 00:00:00;444
2020-12-30 00:00:00;517
2020-12-31 00:00:00;885
2021-01-01 00:00:00;513
2021-01-02 00:00:00;402
2021-01-03 00:00:00;367
2021-01-04 00:00:00;486
2021-01-05 00:00:00;1131
2021-01-06 00:00:00;1094
2021-01-07 00:00:00;1661
2021-01-08 00:00:00;840
2021-01-09 00:00:00;1309
2021-01-10 00:00:00;260
2021-01-11 00:00:00;657
2021-01-12 00:00:00;745
2021-01-13 00:00:00;806
2021-01-14 00:00:00;686
2021-01-15 00:00:00;669
2021-01-16 00:00:00;655
2021-01-17 00:00:00;681
2021-01-18 00:00:00;740
2021-01-19 00:00:00;774
2021-01-20 00:00:00;876
2021-01-21 00:00:00;906
2021-01-22 00:00:00;1030
2021-01-23 00:00:00;609
2021-01-24 00:00:00;514
2021-01-25 00:00:00;888
2021-01-26 00:00:00;928
2021-01-27 00:00:00;940
2021-01-28 00:00:00;885
2021-01-29 00:00:00;987
2021-01-30 00:00:00;838
2021-01-31 00:00:00;709
2021-02-01 00:00:00;867
2021-02-02 00:00:00;827
2021-02-03 00:00:00;860
2021-02-04 00:00:00;765
2021-02-05 00:00:00;803
2021-02-06 00:00:00;496
2021-02-07 00:00:00;401
2021-02-08 00:00:00;551
2021-02-09 00:00:00;571
2021-02-10 00:00:00;585
2021-02-11 00:00:00;389
2021-02-12 00:00:00;332
2021-02-13 00:00:00;592
2021-02-14 00:00:00;453
2021-02-15 00:00:00;349
2021-02-16 00:00:00;246
2021-02-17 00:00:00;164
2021-02-18 00:00:00;-29
2021-02-19 00:00:00;175
2021-02-20 00:00:00;-29
2021-02-21 00:00:00;103
2021-02-22 00:00:00;112
2021-02-23 00:00:00;186
2021-02-24 00:00:00;84
2021-02-25 00:00:00;37
2021-02-26 00:00:00;28
2021-02-27 00:00:00;-16
2021-02-28 00:00:00;63
2021-03-01 00:00:00;9
2021-03-02 00:00:00;180
2021-03-03 00:00:00;81
2021-03-04 00:00:00;84
2021-03-05 00:00:00;70
2021-03-06 00:00:00;16
2021-03-07 00:00:00;58
2021-03-08 00:00:00;44
2021-03-09 00:00:00;53
2021-03-10 00:00:00;40
2021-03-11 00:00:00;49
2021-03-12 00:00:00;55
2021-03-13 00:00:00;46
2021-03-14 00:00:00;31
2021-03-15 00:00:00;36
2021-03-16 00:00:00;32
2021-03-17 00:00:00;31
2021-03-18 00:00:00;27
2021-03-19 00:00:00;26
2021-03-20 00:00:00;18
2021-03-21 00:00:00;21
2021-03-22 00:00:00;20
2021-03-23 00:00:00;24
2021-03-24 00:00:00;24
2021-03-25 00:00:00;16
2021-03-26 00:00:00;20
2021-03-27 00:00:00;23
2021-03-28 00:00:00;22
2021-03-29 00:00:00;11
2021-03-30 00:00:00;19
2021-03-31 00:00:00;19
2021-04-01 00:00:00;21
2021-04-02 00:00:00;24
2021-04-03 00:00:00;23
2021-04-04 00:00:00;23
2021-04-05 00:00:00;24
2021-04-06 00:00:00;25
