Data;Predicted
2020-09-15 00:00:00;115
2020-09-16 00:00:00;98
2020-09-17 00:00:00;72
2020-09-18 00:00:00;69
2020-09-19 00:00:00;67
2020-09-20 00:00:00;37
2020-09-21 00:00:00;87
2020-09-22 00:00:00;95
2020-09-23 00:00:00;107
2020-09-24 00:00:00;74
2020-09-25 00:00:00;93
2020-09-26 00:00:00;57
2020-09-27 00:00:00;22
2020-09-28 00:00:00;72
2020-09-29 00:00:00;86
2020-09-30 00:00:00;82
2020-10-01 00:00:00;55
2020-10-02 00:00:00;87
2020-10-03 00:00:00;-2
2020-10-04 00:00:00;30
2020-10-05 00:00:00;100
2020-10-06 00:00:00;77
2020-10-07 00:00:00;73
2020-10-08 00:00:00;66
2020-10-09 00:00:00;87
2020-10-10 00:00:00;24
2020-10-11 00:00:00;59
2020-10-12 00:00:00;93
2020-10-13 00:00:00;537
2020-10-14 00:00:00;680
2020-10-15 00:00:00;636
2020-10-16 00:00:00;625
2020-10-17 00:00:00;527
2020-10-18 00:00:00;87
2020-10-19 00:00:00;-318
2020-10-20 00:00:00;570
2020-10-21 00:00:00;394
2020-10-22 00:00:00;526
2020-10-23 00:00:00;647
2020-10-24 00:00:00;437
2020-10-25 00:00:00;400
2020-10-26 00:00:00;522
2020-10-27 00:00:00;1084
2020-10-28 00:00:00;953
2020-10-29 00:00:00;1067
2020-10-30 00:00:00;1242
2020-10-31 00:00:00;527
2020-11-01 00:00:00;1144
2020-11-02 00:00:00;994
2020-11-03 00:00:00;728
2020-11-04 00:00:00;814
2020-11-05 00:00:00;936
2020-11-06 00:00:00;1130
2020-11-07 00:00:00;518
2020-11-08 00:00:00;688
2020-11-09 00:00:00;1059
2020-11-10 00:00:00;2684
2020-11-11 00:00:00;1837
2020-11-12 00:00:00;2210
2020-11-13 00:00:00;2353
2020-11-14 00:00:00;2433
2020-11-15 00:00:00;3091
2020-11-16 00:00:00;3190
2020-11-17 00:00:00;2994
2020-11-18 00:00:00;2987
2020-11-19 00:00:00;3569
2020-11-20 00:00:00;3294
2020-11-21 00:00:00;2787
2020-11-22 00:00:00;2304
2020-11-23 00:00:00;3140
2020-11-24 00:00:00;1808
2020-11-25 00:00:00;1608
2020-11-26 00:00:00;1882
2020-11-27 00:00:00;1227
2020-11-28 00:00:00;2066
2020-11-29 00:00:00;619
2020-11-30 00:00:00;1537
2020-12-01 00:00:00;2095
2020-12-02 00:00:00;2037
2020-12-03 00:00:00;2122
2020-12-04 00:00:00;1278
2020-12-05 00:00:00;1967
2020-12-06 00:00:00;878
2020-12-07 00:00:00;1380
2020-12-08 00:00:00;1027
2020-12-09 00:00:00;918
2020-12-10 00:00:00;1182
2020-12-11 00:00:00;681
2020-12-12 00:00:00;487
2020-12-13 00:00:00;254
2020-12-14 00:00:00;8568
2020-12-15 00:00:00;15618
2020-12-16 00:00:00;717
2020-12-17 00:00:00;1245
2020-12-18 00:00:00;720
2020-12-19 00:00:00;452
2020-12-20 00:00:00;400
2020-12-21 00:00:00;8843
2020-12-22 00:00:00;528
2020-12-23 00:00:00;687
2020-12-24 00:00:00;645
2020-12-25 00:00:00;702
2020-12-26 00:00:00;969
2020-12-27 00:00:00;569
2020-12-28 00:00:00;737
2020-12-29 00:00:00;790
2020-12-30 00:00:00;887
2020-12-31 00:00:00;1048
2021-01-01 00:00:00;840
2021-01-02 00:00:00;976
2021-01-03 00:00:00;726
2021-01-04 00:00:00;483
2021-01-05 00:00:00;1362
2021-01-06 00:00:00;676
2021-01-07 00:00:00;1315
2021-01-08 00:00:00;2401
2021-01-09 00:00:00;1497
2021-01-10 00:00:00;659
2021-01-11 00:00:00;1335
2021-01-12 00:00:00;1458
2021-01-13 00:00:00;640
2021-01-14 00:00:00;-163
2021-01-15 00:00:00;1911
2021-01-16 00:00:00;557
2021-01-17 00:00:00;704
2021-01-18 00:00:00;909
2021-01-19 00:00:00;1078
2021-01-20 00:00:00;1127
2021-01-21 00:00:00;972
2021-01-22 00:00:00;1258
2021-01-23 00:00:00;853
2021-01-24 00:00:00;809
2021-01-25 00:00:00;1067
2021-01-26 00:00:00;865
2021-01-27 00:00:00;858
2021-01-28 00:00:00;660
2021-01-29 00:00:00;1773
2021-01-30 00:00:00;1190
2021-01-31 00:00:00;1075
2021-02-01 00:00:00;1648
2021-02-02 00:00:00;1316
2021-02-03 00:00:00;1369
2021-02-04 00:00:00;1337
2021-02-05 00:00:00;1367
2021-02-06 00:00:00;1340
2021-02-07 00:00:00;1241
2021-02-08 00:00:00;1330
2021-02-09 00:00:00;1320
2021-02-10 00:00:00;1321
2021-02-11 00:00:00;1298
2021-02-12 00:00:00;1351
2021-02-13 00:00:00;1328
2021-02-14 00:00:00;1277
2021-02-15 00:00:00;1303
2021-02-16 00:00:00;307
2021-02-17 00:00:00;496
2021-02-18 00:00:00;504
2021-02-19 00:00:00;509
2021-02-20 00:00:00;595
2021-02-21 00:00:00;422
2021-02-22 00:00:00;454
2021-02-23 00:00:00;270
2021-02-24 00:00:00;569
2021-02-25 00:00:00;308
2021-02-26 00:00:00;640
2021-02-27 00:00:00;357
2021-02-28 00:00:00;869
2021-03-01 00:00:00;840
2021-03-02 00:00:00;400
2021-03-03 00:00:00;137
2021-03-04 00:00:00;150
2021-03-05 00:00:00;119
2021-03-06 00:00:00;235
2021-03-07 00:00:00;77
2021-03-08 00:00:00;112
2021-03-09 00:00:00;109
2021-03-10 00:00:00;129
2021-03-11 00:00:00;116
2021-03-12 00:00:00;44
2021-03-13 00:00:00;34
2021-03-14 00:00:00;-43
2021-03-15 00:00:00;62
2021-03-16 00:00:00;84
2021-03-17 00:00:00;84
2021-03-18 00:00:00;77
2021-03-19 00:00:00;84
2021-03-20 00:00:00;73
2021-03-21 00:00:00;79
2021-03-22 00:00:00;77
2021-03-23 00:00:00;82
2021-03-24 00:00:00;83
2021-03-25 00:00:00;77
2021-03-26 00:00:00;82
2021-03-27 00:00:00;70
2021-03-28 00:00:00;74
2021-03-29 00:00:00;65
2021-03-30 00:00:00;83
2021-03-31 00:00:00;85
2021-04-01 00:00:00;85
2021-04-02 00:00:00;87
2021-04-03 00:00:00;88
2021-04-04 00:00:00;82
2021-04-05 00:00:00;82
2021-04-06 00:00:00;82
2021-04-07 00:00:00;86
2021-04-08 00:00:00;84
2021-04-09 00:00:00;89
2021-04-10 00:00:00;93
2021-04-11 00:00:00;88
2021-04-12 00:00:00;83
