Data;Predicted
2021-06-12 00:00:00;1114
2021-06-13 00:00:00;561
2021-06-14 00:00:00;647
2021-06-15 00:00:00;1218
2021-06-16 00:00:00;1292
2021-06-17 00:00:00;-1153
2021-06-18 00:00:00;702
2021-06-19 00:00:00;720
2021-06-20 00:00:00;604
2021-06-21 00:00:00;764
2021-06-22 00:00:00;940
2021-06-23 00:00:00;1836
